Line,Category,Item,Value / Spec,Package,Refs,Qty per unit,Qty for 1000,Order qty (with spares),Source,Notes
1,Metering,HLW8032 energy metering IC,5V UART SOP-8,SOP-8,U2,1,1000,1050,LCSC C128023,~US$0.27. 5V supply. Internal oscillator. Buy the full run up front.
2,MCU,ESP32-WROOM-32E-N8,8 MB flash,Castellated 18x25.5mm,U3,1,1000,1050,LCSC / AliExpress,8MB NOT 4MB - OTA needs two app partitions. Verify real flash size with esptool flash_id.
3,RTC,DS3231SN,+/-2ppm TCXO RTC I2C,SOIC-16,U4,1,1000,1050,LCSC / local,Commonly counterfeited - see risks 6.9. Alt: DS3231M SOIC-8.
4,Power,HLK-PM01,100-264VAC to 5V 0.6A isolated,THT module 34x20x15,PS1,1,1000,1050,LCSC / AliExpress / local,MUST be the isolated transformer type. Alt: HLK-PM03 (3.3V) / HLK-5M05 / IRM-03-5.
5,Power,AMS1117-3.3,3.3V LDO,SOT-223,U1,1,1000,1050,LCSC / local,Alt: LM1117-3.3 / AP1117-33 / SPX1117-3.3.
6,Sensing,ZMPT101B voltage transformer,1000:1000 2mA:2mA,THT,T1,1,1000,1050,AliExpress / local,BUY THE BARE TRANSFORMER - not the blue LM358 breakout module.
7,Sensing,Split-core CT clamp,100A:50mA (2000:1) 13mm window,External SCT-013-000,CT1,1,1000,1030,AliExpress / local,BIGGEST BOM COST (~33%). Buy samples from 3 suppliers and measure turns ratio before committing.
8,Connector,Screw terminal 2-pin 5.08mm,300V 10A,5.08mm 2P,J1,1,1000,1050,Local / LCSC,Mains L/N. KF128-5.08 or KF301-5.08.
9,Connector,Screw terminal 2-pin 3.5mm,SELV,3.5mm 2P,J2,1,1000,1050,Local / LCSC,CT input. Different pitch from J1 on purpose - prevents miswiring mains here.
10,Connector,Pin header 1x6 2.54mm,Male straight,1x6,J3,1,1000,1050,Local / LCSC,Programming port. Can be left as bare pads if using a pogo-pin jig.
11,Safety,Fuse 250mA time-lag,250 VAC 5x20mm glass,5x20mm,F1,1,1000,1100,Local / LCSC,MUST be 250VAC rated and time-lag (T). NEVER an SMD fuse - most are 63V only.
12,Safety,Fuse clips for 5x20mm,PCB mount,THT clip,FH1,2,2000,2100,Local / LCSC,Omit if you use a radial TR5 fuse instead.
13,Safety,MOV varistor 14D471K,470V varistor voltage 14mm,14mm disc,RV1,1,1000,1050,Local / LCSC,Alt: 7D471K / S14K275 / TVR14471. Do NOT fit a 275V or 390V part.
14,Safety,X2 safety capacitor,100nF 275VAC,X2 box THT,C1,1,1000,1050,Local / LCSC,CLASS X2 MANDATORY - fails open. A general-purpose ceramic here is a fire hazard.
15,Protection,TVS bidirectional SMAJ5.0CA,5V bidirectional,DO-214AC,"D2, D3",2,2000,2100,LCSC / local,Must be BIDIRECTIONAL - the signal is AC. Alt: P6KE6.8CA / SMBJ5.0CA.
16,Protection,Diode 1N4148W,Small signal,SOD-123,D1,1,1000,1100,LCSC / local,LDO reverse-feed protection. Alt: SS14 / BAT54 / 1N4007 THT.
17,Passive,Resistor 47k 1% 1/2W metal film,Through-hole axial,Axial THT,Rv1-Rv4,4,4000,4200,Local / LCSC,ZMPT primary string. THT chosen for voltage rating + creepage. NEVER replace with one resistor.
18,Passive,Resistor 1k 1%,0805,0805,"Rls1, Rf1, R3, R4",4,4000,4200,LCSC / local,General purpose.
19,Passive,Resistor 1.5k 1%,0805,0805,"Rf2, Rf3",2,2000,2200,LCSC / local,PHASE COMPENSATION - MATCHED PAIR. Buy 820R/1.2k/1.8k/2.2k too for prototype tuning.
20,Passive,Resistor 2k 1%,0805,0805,Rls2,1,1000,1100,LCSC / local,Level shifter shunt leg.
21,Passive,Resistor 10k 1%,0805,0805,"R1, R2",2,2000,2100,LCSC / local,EN and IO0 pull-ups.
22,Passive,Resistor 4.7k 1%,0805,0805,"R5, R6",2,2000,2100,LCSC / local,I2C pull-ups.
23,Passive,Resistor 0R jumper,0805,0805,R7,1,1000,1100,LCSC / local,AGND-GND star link. Can be an Altium NetTie instead.
24,Precision,Resistor 0.68R 1% <=50ppm/C,Thin film 0.25W,0805 or 1206,Rb,1,1000,1100,LCSC,CT BURDEN - ACCURACY CRITICAL. VERIFY VALUE ON PROTOTYPE. Buy 0.51R/0.56R/0.62R/0.75R for the sweep. NO wirewound. NO >50ppm.
25,Precision,Resistor 150R 1% <=50ppm/C,Thin film,0805,Rv5,1,1000,1100,LCSC,ZMPT burden. VERIFY VALUE ON PROTOTYPE. Buy 62R/100R/220R/330R for the sweep.
26,Passive,Capacitor 100nF X7R 50V,0805,0805,"C3, C6, C8, C13",4,4000,4200,LCSC / local,Decoupling.
27,Passive,Capacitor 10uF X7R 16V,0805,0805,"C5, C7",2,2000,2100,LCSC / local,Bulk decoupling.
28,Passive,Capacitor 1uF X7R,0805,0805,C12,1,1000,1100,LCSC / local,EN reset delay - REQUIRED for reliable boot.
29,Passive,Capacitor 33nF X7R 50V,0805,0805,"Cf1, Cf2",2,2000,2100,LCSC / local,Anti-alias. BUY ALL FILTER CAPS FROM ONE REEL - consistency matters.
30,Passive,Capacitor 10nF X7R 50V,0805,0805,"Cf3, Cf4",2,2000,2100,LCSC / local,Common-mode filter. Same reel as above.
31,Passive,Electrolytic 470uF 16V 105C,Radial THT,Radial,C2,1,1000,1050,Local / LCSC,5V bulk. 105C part - it lives in a hot panel.
32,Passive,Electrolytic 470uF 10V 105C,Radial THT,Radial,C4,1,1000,1050,Local / LCSC,3.3V bulk. MUST sit within 10mm of the ESP32 3V3 pin.
33,Passive,Ferrite bead 600R @100MHz,0805 >=200mA,0805,FB1,1,1000,1100,LCSC / local,Keeps Wi-Fi noise off the metering IC supply.
34,UI,Tact switch 6x6mm,THT,6x6 THT,SW1,1,1000,1050,Local / LCSC,Needs a tall actuator to reach the enclosure wall.
35,UI,LED green 0805,Standard brightness,0805,LED1,1,1000,1100,LCSC / local,Power / heartbeat.
36,UI,LED blue 0805,Standard brightness,0805,LED2,1,1000,1100,LCSC / local,Wi-Fi / cloud status.
37,RTC,CR2032 holder THT,PCB mount,THT holder,BT1,1,1000,1050,Local / LCSC,
38,RTC,CR2032 lithium cell,3V non-rechargeable,Coin,B1,1,1000,1020,Local,NON-RECHARGEABLE. No trickle-charge circuit - connect straight to VBAT.
