Ref,Qty,Part,Value,Package,Mount,Side,Role,Alternatives,Notes
J1,1,Screw terminal 2-pin,5.08mm 300V 10A,5.08mm 2P,THT,MAINS,Mains L/N entry,KF128-5.08 / KF301-5.08,Wide pitch for 1.5mm2 wire
F1,1,Fuse,250mA Time-lag 250VAC,5x20mm glass,THT,MAINS,Overcurrent / fire protection,Radial TR5 250mA 250V,NEVER use SMD fuse (63V rated)
FH1,2,Fuse clip,for 5x20mm,PCB clip,THT,MAINS,Holds F1,Omit if radial fuse,
RV1,1,MOV varistor,14D471K (470V),14mm disc,THT,MAINS,Surge clamp,7D471K / S14K275 / TVR14471,Must be AFTER the fuse
C1,1,X2 safety capacitor,100nF 275VAC,X2 box,THT,MAINS,Differential EMI suppression,Any X2 100nF 275VAC,Class X2 mandatory - fails open
PS1,1,HLK-PM01,230VAC to 5V 3W isolated,34x20x15mm,THT,MAINS,Isolated power supply,HLK-PM03 (3.3V) / HLK-5M05 / IRM-03-5,Must be isolated transformer type
Rv1,1,Resistor metal film,47k 1% 1/2W,Axial,THT,MAINS,ZMPT primary current limit,51k,Part of 188k series string
Rv2,1,Resistor metal film,47k 1% 1/2W,Axial,THT,MAINS,ZMPT primary current limit,51k,
Rv3,1,Resistor metal film,47k 1% 1/2W,Axial,THT,MAINS,ZMPT primary current limit,51k,
Rv4,1,Resistor metal film,47k 1% 1/2W,Axial,THT,MAINS,ZMPT primary current limit,51k,Never replace with a single resistor
T1,1,ZMPT101B,1000:1000 2mA:2mA,THT transformer,THT,BARRIER,Isolated voltage sensing,230V:6V 0.35VA PCB transformer,Buy BARE transformer not LM358 module
C2,1,Electrolytic capacitor,470uF 16V 105C,Radial,THT,SELV,5V bulk reservoir,330-1000uF,105C part - hot panel
C3,1,Ceramic capacitor,100nF X7R 50V,0805,SMD,SELV,5V rail decoupling at the LDO input,,
U1,1,AMS1117-3.3,3.3V LDO,SOT-223,SMD,SELV,5V to 3.3V regulator,LM1117-3.3 / AP1117-33 / SPX1117-3.3,
D1,1,Diode,1N4148W,SOD-123,SMD,SELV,LDO reverse-feed protection,SS14 / BAT54 / 1N4007,
C4,1,Electrolytic capacitor,470uF 10V 105C,Radial,THT,SELV,3.3V bulk for Wi-Fi bursts,470-1000uF low ESR,Place within 10mm of ESP32 3V3 pin
C5,1,Ceramic capacitor,10uF 16V X7R,0805,SMD,SELV,3.3V mid-freq decoupling,4.7-22uF X5R/X7R,
C6,1,Ceramic capacitor,100nF X7R,0805,SMD,SELV,3.3V HF decoupling,,
U2,1,HLW8032,Metering IC,SOP-8 1.27mm,SMD,SELV,Energy measurement engine (V I P PF energy),ATM90E26-YU-R SSOP-28 = v2 upgrade path,LCSC C128023 ~32000 in stock. 5V supply. Internal 3.579MHz - NO crystal. UART TX-only 4800 baud 24-byte packet. No writable registers
Rls1,1,Resistor,1k 1%,0805,SMD,SELV,UART level shifter series element,1-10k keeping 1:2 ratio,HLW8032 TX is 5V - ESP32 is NOT 5V tolerant
Rls2,1,Resistor,2k 1%,0805,SMD,SELV,UART level shifter shunt element,2-20k keeping ratio,5V x 2k/(1k+2k) = 3.33V
FB1,1,Ferrite bead,600R @100MHz,0805,SMD,SELV,Keeps Wi-Fi/digital noise off the metering IC 5V supply,120-1000R @100MHz >=200mA,
C7,1,Ceramic capacitor,10uF X7R,0805,SMD,SELV,Metering IC 5V supply bulk,4.7-22uF,
C8,1,Ceramic capacitor,100nF X7R,0805,SMD,SELV,Metering IC decoupling,,Place hard against pin
Rb,1,Resistor thin film,0.68R 1% <=50ppm/C 0.25W,0805 or 1206,SMD,SELV,CT burden - sets current full scale,0.51-0.77R per real chip full scale,VERIFY ON PROTOTYPE - HLW8032 full scale is only ~20-30mV - NO programmable gain to fall back on
Rb2,0,Resistor,DNP,0805,SMD,SELV,Burden trim footprint,,Leave empty
Rv5,1,Resistor thin film,150R 1% <=50ppm/C,0805,SMD,SELV,ZMPT secondary burden - voltage full scale,62-330R per real chip full scale,VERIFY ON PROTOTYPE
Rv6,0,Resistor,DNP,0805,SMD,SELV,Voltage trim footprint,,Leave empty
Rf1,1,Resistor,1k 1%,0805,SMD,SELV,Voltage-channel anti-alias series,470R-2.2k,
Rf2,1,Resistor,1.5k 1%,0805,SMD,SELV,Current anti-alias AND CT phase compensation,820R-2.2k per measured CT phase error,TUNE ON PROTOTYPE - MATCHED PAIR with the other - change both together - do not exceed ~2.2k
Rf3,1,Resistor,1.5k 1%,0805,SMD,SELV,Current anti-alias AND CT phase compensation,820R-2.2k per measured CT phase error,TUNE ON PROTOTYPE - MATCHED PAIR with the other - change both together - do not exceed ~2.2k
Cf1,1,Ceramic capacitor,33nF X7R 50V,0805,SMD,SELV,Voltage-channel anti-alias ~4.8kHz (0.59deg lag),22-47nF,C0G nicer but 33nF C0G not reliably available in 0805
Cf2,1,Ceramic capacitor,33nF X7R 50V,0805,SMD,SELV,Current-channel differential anti-alias,22-47nF,Same part as Cf1 - phase trim lives in Rf2/Rf3 - buy Cf1-Cf4 from one reel
Cf3,1,Ceramic capacitor,10nF X7R 50V,0805,SMD,SELV,Common-mode filter on CT leg,10nF C0G also fine,Adds 5nF to the differential path - accounted for in phase maths
Cf4,1,Ceramic capacitor,10nF X7R 50V,0805,SMD,SELV,Common-mode filter on CT leg,10nF C0G also fine,Adds 5nF to the differential path - accounted for in phase maths
D2,1,TVS bidirectional,SMAJ5.0CA,DO-214AC,SMD,SELV,CT open-circuit / ESD clamp,P6KE6.8CA / SMBJ5.0CA,Must be bidirectional
D3,1,TVS bidirectional,SMAJ5.0CA,DO-214AC,SMD,SELV,Voltage channel transient clamp,P6KE6.8CA / SMBJ5.0CA,Must be bidirectional
J2,1,Screw terminal 2-pin,3.5mm,3.5mm 2P,THT,SELV,CT clamp connection,3.81mm block / PJ-320 3.5mm jack,Different pitch from J1 to prevent miswiring
U3,1,ESP32-WROOM-32E-N8,8MB flash,Castellated 18x25.5mm,SMD,SELV,MCU + Wi-Fi + TLS + buffering,ESP32-WROOM-32UE (u.FL, same footprint) / ESP32-WROOM-32D,8MB not 4MB: OTA needs 2 app partitions. Avoid ESP8266 - TLS too slow
R1,1,Resistor,10k,0805,SMD,SELV,EN pull-up,,
C12,1,Ceramic capacitor,1uF X7R,0805,SMD,SELV,EN reset delay,0.1-4.7uF,Required for reliable boot
